Date,Price,log_return,pct_change
1987-05-21,18.45,-0.009708814126960785,-0.966183574879220
1987-05-22,18.55,0.005405418566907905,0.5420054200542035
1987-05-23,18.566666666666666,0.0008980692116846711,0.08984725965857088
1987-05-24,18.583333333333336,0.0008972634069897012,0.08976660682227244
1987-05-25,18.6,0.0008964590470372791,0.08968609865469546
1987-05-26,18.63,0.0016116038943412292,0.1612903225806317
1987-05-27,18.6,-0.0016116038943412292,-0.16103059581319412
1987-05-28,18.6,0.0,0.0
1987-05-29,18.58,-0.0010758473334635532,-0.10752688172044333
1987-05-30,18.60333333333333,0.0012550427465400915,0.12558306422676413
1987-05-31,18.626666666666665,0.0012534695884189873,0.1254255509765212
1987-06-01,18.65,0.001251900369173331,0.12526843235505236
1987-06-02,18.68,0.001607286710871847,0.16085790884718953
1987-06-03,18.75,0.0037403196157232976,0.37473233404710093
1987-06-04,18.78,0.0015987213636972086,0.16000000000000458
1987-06-05,18.65,-0.006946327690292353,-0.6922257720979874
1987-06-06,18.683333333333334,0.0017857147602344803,0.17873100983021306
1987-06-07,18.716666666666665,0.0017825316662833934,0.1784121320249632
1987-06-08,18.75,0.0017793599000772709,0.17809439002671734
1987-06-09,18.78,0.0015987213636972086,0.16000000000000458
1987-06-10,18.78,0.0,0.0
1987-06-11,18.68,-0.005339040979420506,-0.5324813631522929
1987-06-12,18.78,0.005339040979420506,0.5353319057815886
1987-06-13,18.810000000000002,0.001596169532822156,0.15974440894568342
1987-06-14,18.84,0.0015936258352780008,0.15948963317382603
1987-06-15,18.869999999999997,0.0015910902322415765,0.15923566878979223
1987-06-16,18.9,0.001588562685137962,0.15898251192369983
1987-06-17,19.03,0.006854759242461483,0.6878306878306928
1987-06-18,19.05,0.0010504202646517413,0.10509721492379942
1987-06-19,19.05,0.0,0.0
1987-06-20,19.066666666666666,0.0008745081449323955,0.08748906386701893
1987-06-21,19.083333333333336,0.0008737440485973025,0.08741258741260527
1987-06-22,19.1,0.0008729812863448316,0.08733624454146938
1987-06-23,18.9,-0.010526412986987754,-1.0471204188481797
1987-06-24,18.75,-0.007968169649176904,-0.7936507936507908
1987-06-25,18.7,-0.0026702285558788397,-0.2666666666666706
1987-06-26,19.08,0.020117142159599588,2.032085561497321
1987-06-27,19.10333333333333,0.0012221738753956934,0.12229210342418195
1987-06-28,19.126666666666665,0.0012206819895728138,0.12214273250741314
1987-06-29,19.15,0.0012191937415457765,0.1219937260369397
1987-06-30,19.08,-0.003662049606514284,-0.3655352480417817
1987-07-01,18.98,-0.005254872838358793,-0.5241090146750449
1987-07-02,19.25,0.0141252675520116,1.4225500526870327
1987-07-03,19.33,0.004147232486446217,0.4155844155844024
1987-07-04,19.38,0.0025833132423804805,0.2586652871184647
1987-07-05,19.43,0.0025766569267284822,0.25799793601650745
1987-07-06,19.48,0.0025700348250405902,0.257334019557387
1987-07-07,19.5,0.0010261673553118023,0.10266940451744144
1987-07-08,19.48,-0.0010261673553118023,-0.10256410256409554
1987-07-09,19.68,0.010214593409718198,1.0266940451745254
1987-07-10,19.73,0.002537428410416709,0.2540650406504197
1987-07-11,19.763333333333332,0.0016880490166424345,0.16894745734075123
1987-07-12,19.796666666666667,0.001685204308492505,0.16866250632485702
1987-07-13,19.83,0.0016823691720455614,0.16837851490147937
1987-07-14,19.88,0.0025182586967233966,0.2521432173474558
1987-07-15,20.28,0.01992097749455457,2.012072434607659
1987-07-16,20.4,0.005899722127188145,0.5917159763313418
1987-07-17,20.63,0.011211426232989652,1.1274509803921529
1987-07-18,20.60333333333333,-0.00129345208008802,-0.12926159314914365
1987-07-19,20.576666666666668,-0.0012951272653771717,-0.1294288950007938
1987-07-20,20.55,-0.0012968067954512996,-0.12959663048760506
1987-07-21,20.35,-0.009780029053639616,-0.9732360097323589
1987-07-22,20.33,-0.0009832842483490367,-0.09828009828011242
1987-07-23,20.15,-0.008893339247563414,-0.8853910477127358
1987-07-24,19.58,-0.028695651290327362,-2.8287841191066976
1987-07-25,19.486666666666665,-0.004778166087374469,-0.4766768811712674
1987-07-26,19.393333333333334,-0.0048011066160440485,-0.47895997263084356
